# all_ap,0.151536
# all_ap_50,0.298397
# all_ap_25,0.464295
# all_rc,0.338295
# all_rc_50,0.507667
# all_rc_25,0.638914
scene_id,AP,AP_50%,AP_25%
05_points_GTv3_95,0.020,0.027,0.162
10_points_GTv3_35,0.019,0.056,0.255
10_points_GTv3_34,0.019,0.048,0.208
10_points_GTv3_63,0.019,0.051,0.177
05_points_GTv3_19,0.019,0.031,0.157
15_points_GTv3_00,0.018,0.048,0.460
05_points_GTv3_03,0.018,0.044,0.193
05_points_GTv3_77,0.017,0.029,0.126
05_points_GTv3_51,0.017,0.036,0.193
10_points_GTv3_45,0.017,0.043,0.215
05_points_GTv3_85,0.014,0.059,0.271
05_points_GTv3_04,0.010,0.039,0.156
10_points_GTv3_62,0.010,0.020,0.187
05_points_GTv3_94,0.008,0.037,0.230
10_points_GTv3_98,0.007,0.020,0.199
15_points_GTv3_98,0.006,0.022,0.310
10_points_GTv3_99,0.002,0.004,0.085
10_points_GTv3_50,0.000,0.004,0.054
25_points_GTv3_20,nan,nan,nan
25_points_GTv3_57,0.752,1.000,1.000
25_points_GTv3_79,0.634,0.822,0.889
25_points_GTv3_84,0.579,0.981,0.985
25_points_GTv3_33,0.569,0.778,0.778
25_points_GTv3_18,0.558,0.754,0.975
25_points_GTv3_35,0.520,0.667,0.750
25_points_GTv3_44,0.508,0.666,0.842
25_points_GTv3_05,0.503,0.780,0.870
25_points_GTv3_15,0.503,0.742,0.855
25_points_GTv3_73,0.485,0.755,0.807
25_points_GTv3_25,0.457,0.770,0.832
25_points_GTv3_27,0.455,0.779,0.895
25_points_GTv3_66,0.454,0.702,0.731
25_points_GTv3_59,0.440,0.692,0.769
25_points_GTv3_67,0.436,0.734,0.861
25_points_GTv3_86,0.427,0.695,0.917
25_points_GTv3_69,0.418,0.706,0.770
25_points_GTv3_96,0.417,0.606,0.758
25_points_GTv3_19,0.409,0.645,0.645
25_points_GTv3_53,0.381,0.604,0.604
25_points_GTv3_83,0.375,0.684,0.737
25_points_GTv3_76,0.368,0.561,0.689
25_points_GTv3_58,0.363,0.512,0.512
25_points_GTv3_02,0.357,0.713,0.772
25_points_GTv3_56,0.355,0.949,0.949
25_points_GTv3_48,0.352,0.579,0.623
25_points_GTv3_55,0.352,0.625,0.755
25_points_GTv3_85,0.348,0.652,0.696
25_points_GTv3_54,0.348,0.740,0.824
25_points_GTv3_10,0.347,0.667,0.800
20_points_GTv3_82,0.345,0.590,0.640
25_points_GTv3_61,0.344,0.624,0.794
25_points_GTv3_29,0.340,0.579,0.652
20_points_GTv3_75,0.337,0.677,0.750
25_points_GTv3_30,0.336,0.494,0.818
25_points_GTv3_45,0.334,0.525,0.620
25_points_GTv3_49,0.332,0.654,0.774
25_points_GTv3_95,0.329,0.571,0.875
20_points_GTv3_96,0.323,0.523,0.750
25_points_GTv3_90,0.319,0.440,0.560
