# all_ap,0.362705
# all_ap_50,0.484304
# all_ap_25,0.545124
# all_rc,0.498391
# all_rc_50,0.595797
# all_rc_25,0.637551
scene_id,AP,AP_50%,AP_25%
15_points_GTv3_68,0.372,0.467,0.508
25_points_GTv3_06,0.372,0.433,0.433
05_points_GTv3_01,0.366,0.495,0.495
20_points_GTv3_04,0.364,0.568,0.697
10_points_GTv3_27,0.363,0.371,0.571
05_points_GTv3_84,0.361,0.526,0.526
15_points_GTv3_12,0.360,0.518,0.561
25_points_GTv3_51,0.359,0.459,0.462
20_points_GTv3_49,0.358,0.460,0.559
15_points_GTv3_88,0.358,0.488,0.519
15_points_GTv3_66,0.358,0.552,0.647
10_points_GTv3_52,0.357,0.463,0.523
25_points_GTv3_92,0.357,0.492,0.492
20_points_GTv3_72,0.355,0.529,0.592
25_points_GTv3_04,0.354,0.443,0.537
20_points_GTv3_30,0.353,0.477,0.539
10_points_GTv3_94,0.353,0.506,0.571
15_points_GTv3_46,0.350,0.548,0.548
15_points_GTv3_37,0.349,0.634,0.668
15_points_GTv3_67,0.348,0.542,0.591
10_points_GTv3_02,0.346,0.383,0.445
20_points_GTv3_40,0.343,0.475,0.517
25_points_GTv3_08,0.343,0.468,0.468
20_points_GTv3_11,0.339,0.455,0.509
20_points_GTv3_98,0.338,0.514,0.515
20_points_GTv3_01,0.335,0.466,0.466
25_points_GTv3_81,0.335,0.429,0.477
10_points_GTv3_53,0.334,0.615,0.701
10_points_GTv3_22,0.329,0.401,0.401
20_points_GTv3_58,0.328,0.409,0.577
15_points_GTv3_54,0.326,0.607,0.691
20_points_GTv3_36,0.325,0.441,0.503
20_points_GTv3_19,0.320,0.387,0.473
25_points_GTv3_83,0.319,0.431,0.431
20_points_GTv3_37,0.317,0.439,0.460
15_points_GTv3_41,0.316,0.390,0.476
20_points_GTv3_66,0.315,0.521,0.712
10_points_GTv3_89,0.314,0.367,0.437
15_points_GTv3_32,0.312,0.349,0.399
10_points_GTv3_25,0.311,0.528,0.777
05_points_GTv3_61,0.308,0.353,0.529
15_points_GTv3_99,0.304,0.519,0.625
20_points_GTv3_08,0.301,0.356,0.356
20_points_GTv3_39,0.301,0.409,0.446
20_points_GTv3_67,0.300,0.412,0.550
20_points_GTv3_02,0.300,0.481,0.507
20_points_GTv3_86,0.296,0.547,0.637
10_points_GTv3_78,0.296,0.313,0.727
20_points_GTv3_33,0.295,0.593,0.736
15_points_GTv3_13,0.294,0.411,0.486
20_points_GTv3_75,0.291,0.460,0.656
25_points_GTv3_39,0.291,0.409,0.409
20_points_GTv3_62,0.290,0.416,0.553
25_points_GTv3_82,0.288,0.460,0.576
20_points_GTv3_77,0.285,0.322,0.547
15_points_GTv3_89,0.283,0.454,0.681
20_points_GTv3_53,0.282,0.493,0.533
10_points_GTv3_61,0.281,0.413,0.511
05_points_GTv3_74,0.279,0.367,0.470
20_points_GTv3_41,0.279,0.406,0.479
20_points_GTv3_20,0.278,0.356,0.478
15_points_GTv3_58,0.278,0.371,0.371
25_points_GTv3_23,0.276,0.391,0.516
05_points_GTv3_97,0.274,0.300,0.300
15_points_GTv3_47,0.272,0.525,0.633
25_points_GTv3_87,0.266,0.472,0.472
15_points_GTv3_40,0.266,0.396,0.521
20_points_GTv3_51,0.263,0.423,0.510
25_points_GTv3_91,0.262,0.442,0.623
05_points_GTv3_52,0.251,0.283,0.353
20_points_GTv3_13,0.247,0.370,0.500
05_points_GTv3_64,0.246,0.254,0.387
10_points_GTv3_18,0.244,0.281,0.338
20_points_GTv3_89,0.243,0.440,0.466
05_points_GTv3_54,0.242,0.313,0.395
15_points_GTv3_50,0.242,0.489,0.567
10_points_GTv3_23,0.240,0.392,0.455
10_points_GTv3_17,0.240,0.259,0.451
20_points_GTv3_03,0.238,0.440,0.586
20_points_GTv3_59,0.234,0.366,0.466
05_points_GTv3_42,0.230,0.336,0.401
20_points_GTv3_00,0.230,0.321,0.408
15_points_GTv3_87,0.228,0.312,0.399
20_points_GTv3_17,0.227,0.327,0.383
10_points_GTv3_47,0.227,0.342,0.481
05_points_GTv3_88,0.222,0.222,0.222
10_points_GTv3_00,0.222,0.231,0.231
10_points_GTv3_87,0.219,0.306,0.341
05_points_GTv3_18,0.218,0.241,0.433
15_points_GTv3_21,0.218,0.385,0.512
05_points_GTv3_50,0.217,0.292,0.333
10_points_GTv3_38,0.216,0.253,0.314
20_points_GTv3_27,0.215,0.331,0.449
15_points_GTv3_82,0.213,0.391,0.467
20_points_GTv3_90,0.212,0.286,0.286
20_points_GTv3_80,0.212,0.507,0.505
25_points_GTv3_09,0.211,0.380,0.470
25_points_GTv3_22,0.210,0.338,0.403
10_points_GTv3_51,0.210,0.236,0.255
20_points_GTv3_23,0.209,0.365,0.410
20_points_GTv3_07,0.207,0.307,0.327
20_points_GTv3_24,0.202,0.375,0.416
05_points_GTv3_75,0.200,0.200,0.200
15_points_GTv3_42,0.196,0.291,0.291
20_points_GTv3_57,0.193,0.339,0.470
20_points_GTv3_81,0.193,0.233,0.347
10_points_GTv3_37,0.192,0.219,0.273
05_points_GTv3_31,0.190,0.359,0.459
