# all_ap,0.234402
# all_ap_50,0.331129
# all_ap_25,0.444016
# all_rc,0.421954
# all_rc_50,0.579199
# all_rc_25,0.749053
scene_id,AP,AP_50%,AP_25%
15_points_GTv3_02,0.262,0.399,0.561
15_points_GTv3_18,0.262,0.442,0.482
15_points_GTv3_76,0.260,0.440,0.518
05_points_GTv3_42,0.260,0.306,0.306
15_points_GTv3_52,0.258,0.343,0.439
10_points_GTv3_04,0.257,0.380,0.473
10_points_GTv3_21,0.256,0.306,0.362
15_points_GTv3_03,0.256,0.346,0.496
20_points_GTv3_71,0.256,0.284,0.466
10_points_GTv3_13,0.255,0.322,0.439
05_points_GTv3_47,0.253,0.286,0.439
20_points_GTv3_35,0.252,0.362,0.427
15_points_GTv3_23,0.252,0.396,0.467
05_points_GTv3_68,0.251,0.373,0.430
20_points_GTv3_69,0.251,0.391,0.517
20_points_GTv3_48,0.251,0.391,0.459
20_points_GTv3_54,0.250,0.334,0.471
20_points_GTv3_19,0.247,0.331,0.522
05_points_GTv3_50,0.246,0.371,0.408
20_points_GTv3_30,0.246,0.367,0.495
15_points_GTv3_45,0.245,0.353,0.419
15_points_GTv3_47,0.244,0.401,0.525
15_points_GTv3_04,0.242,0.401,0.537
20_points_GTv3_15,0.242,0.345,0.449
05_points_GTv3_33,0.241,0.384,0.517
15_points_GTv3_89,0.241,0.434,0.627
15_points_GTv3_77,0.240,0.367,0.459
15_points_GTv3_46,0.240,0.351,0.457
05_points_GTv3_69,0.239,0.253,0.338
15_points_GTv3_12,0.239,0.479,0.510
05_points_GTv3_82,0.239,0.346,0.346
05_points_GTv3_22,0.238,0.431,0.521
20_points_GTv3_51,0.237,0.326,0.501
20_points_GTv3_37,0.237,0.394,0.504
15_points_GTv3_56,0.237,0.369,0.480
15_points_GTv3_91,0.237,0.438,0.611
15_points_GTv3_64,0.237,0.374,0.502
10_points_GTv3_53,0.236,0.392,0.532
10_points_GTv3_15,0.236,0.332,0.468
15_points_GTv3_26,0.236,0.316,0.488
05_points_GTv3_87,0.235,0.303,0.381
20_points_GTv3_20,0.234,0.380,0.461
20_points_GTv3_39,0.234,0.355,0.459
05_points_GTv3_60,0.233,0.326,0.379
20_points_GTv3_02,0.233,0.366,0.454
05_points_GTv3_05,0.233,0.306,0.460
20_points_GTv3_06,0.233,0.366,0.521
15_points_GTv3_68,0.231,0.303,0.416
20_points_GTv3_70,0.231,0.330,0.520
20_points_GTv3_53,0.231,0.319,0.417
20_points_GTv3_10,0.230,0.438,0.592
10_points_GTv3_78,0.230,0.409,0.467
20_points_GTv3_46,0.230,0.393,0.486
10_points_GTv3_08,0.229,0.429,0.429
05_points_GTv3_14,0.229,0.419,0.579
15_points_GTv3_44,0.227,0.390,0.452
15_points_GTv3_24,0.227,0.367,0.450
20_points_GTv3_44,0.224,0.321,0.398
15_points_GTv3_28,0.223,0.360,0.483
05_points_GTv3_15,0.223,0.426,0.541
15_points_GTv3_37,0.222,0.294,0.368
10_points_GTv3_46,0.220,0.360,0.497
20_points_GTv3_58,0.217,0.378,0.529
20_points_GTv3_16,0.216,0.312,0.468
10_points_GTv3_68,0.216,0.320,0.371
20_points_GTv3_27,0.213,0.308,0.484
15_points_GTv3_86,0.212,0.257,0.423
20_points_GTv3_04,0.211,0.296,0.457
20_points_GTv3_29,0.210,0.344,0.482
20_points_GTv3_56,0.210,0.357,0.473
10_points_GTv3_54,0.208,0.297,0.297
20_points_GTv3_79,0.208,0.283,0.549
20_points_GTv3_62,0.206,0.279,0.399
15_points_GTv3_41,0.204,0.278,0.447
