# all_ap,0.359795
# all_ap_50,0.476091
# all_ap_25,0.583397
# all_rc,0.528831
# all_rc_50,0.619489
# all_rc_25,0.684508
scene_id,AP,AP_50%,AP_25%
15_points_GTv3_06,0.346,0.583,0.667
10_points_GTv3_48,0.346,0.548,0.613
05_points_GTv3_78,0.340,0.385,0.466
20_points_GTv3_03,0.337,0.442,0.593
15_points_GTv3_58,0.336,0.540,0.540
15_points_GTv3_86,0.332,0.607,0.776
05_points_GTv3_31,0.329,0.478,0.722
20_points_GTv3_30,0.320,0.642,0.700
15_points_GTv3_41,0.318,0.414,0.517
15_points_GTv3_35,0.316,0.751,0.751
05_points_GTv3_87,0.315,0.562,0.690
05_points_GTv3_74,0.315,0.401,0.512
15_points_GTv3_60,0.311,0.581,0.833
15_points_GTv3_17,0.310,0.405,0.825
15_points_GTv3_52,0.308,0.430,0.500
15_points_GTv3_40,0.307,0.432,0.569
20_points_GTv3_26,0.307,0.548,0.778
10_points_GTv3_95,0.305,0.435,0.533
20_points_GTv3_23,0.304,0.394,0.552
10_points_GTv3_72,0.302,0.361,0.559
20_points_GTv3_79,0.302,0.500,0.583
15_points_GTv3_80,0.298,0.573,0.687
15_points_GTv3_12,0.294,0.425,0.502
05_points_GTv3_28,0.293,0.424,0.492
10_points_GTv3_47,0.292,0.363,0.475
05_points_GTv3_54,0.287,0.322,0.411
20_points_GTv3_24,0.286,0.409,0.501
10_points_GTv3_89,0.284,0.416,0.721
20_points_GTv3_49,0.281,0.312,0.404
15_points_GTv3_98,0.280,0.435,0.625
20_points_GTv3_51,0.278,0.538,0.777
15_points_GTv3_92,0.275,0.404,0.604
10_points_GTv3_02,0.270,0.270,0.333
15_points_GTv3_91,0.269,0.833,0.833
20_points_GTv3_55,0.269,0.333,0.692
15_points_GTv3_00,0.268,0.325,0.535
15_points_GTv3_48,0.263,0.408,0.446
20_points_GTv3_02,0.263,0.450,0.667
05_points_GTv3_61,0.261,0.369,0.447
15_points_GTv3_03,0.257,0.298,0.358
15_points_GTv3_04,0.253,0.464,0.535
10_points_GTv3_29,0.250,0.250,0.250
05_points_GTv3_18,0.250,0.274,0.367
15_points_GTv3_13,0.248,0.387,0.387
15_points_GTv3_05,0.247,0.431,0.638
15_points_GTv3_11,0.244,0.502,0.606
10_points_GTv3_27,0.243,0.243,0.314
20_points_GTv3_69,0.237,0.361,0.667
10_points_GTv3_85,0.236,0.264,0.574
20_points_GTv3_50,0.233,0.410,0.607
15_points_GTv3_19,0.215,0.544,0.750
20_points_GTv3_06,0.215,0.356,0.559
20_points_GTv3_48,0.213,0.278,0.278
20_points_GTv3_34,0.212,0.431,0.544
10_points_GTv3_56,0.207,0.466,0.549
10_points_GTv3_17,0.204,0.231,0.362
20_points_GTv3_68,0.201,0.279,0.596
10_points_GTv3_87,0.200,0.248,0.283
20_points_GTv3_04,0.199,0.417,0.480
05_points_GTv3_64,0.199,0.199,0.263
10_points_GTv3_88,0.193,0.221,0.314
15_points_GTv3_82,0.191,0.443,0.592
15_points_GTv3_99,0.190,0.339,0.615
10_points_GTv3_97,0.181,0.238,0.448
05_points_GTv3_29,0.180,0.256,0.459
10_points_GTv3_23,0.179,0.283,0.446
15_points_GTv3_25,0.179,0.216,0.492
10_points_GTv3_44,0.176,0.194,0.194
20_points_GTv3_63,0.172,0.532,0.532
20_points_GTv3_12,0.158,0.274,0.359
20_points_GTv3_28,0.156,0.180,0.180
05_points_GTv3_65,0.152,0.251,0.251
05_points_GTv3_44,0.148,0.227,0.477
05_points_GTv3_55,0.145,0.198,0.333
15_points_GTv3_89,0.144,0.257,0.667
15_points_GTv3_87,0.142,0.195,0.332
10_points_GTv3_15,0.140,0.148,0.618
15_points_GTv3_21,0.137,0.273,0.636
15_points_GTv3_28,0.136,0.261,0.417
05_points_GTv3_93,0.135,0.207,0.325
05_points_GTv3_95,0.134,0.143,0.264
10_points_GTv3_41,0.119,0.151,0.201
20_points_GTv3_46,0.117,0.188,0.357
10_points_GTv3_38,0.113,0.140,0.167
05_points_GTv3_45,0.105,0.232,0.265
10_points_GTv3_35,0.101,0.117,0.117
10_points_GTv3_40,0.098,0.105,0.132
15_points_GTv3_71,0.091,0.106,0.447
10_points_GTv3_63,0.091,0.113,0.292
10_points_GTv3_42,0.086,0.167,0.385
10_points_GTv3_34,0.081,0.113,0.253
20_points_GTv3_57,0.077,0.176,0.427
10_points_GTv3_14,0.073,0.199,0.322
05_points_GTv3_91,0.069,0.225,0.225
10_points_GTv3_60,0.064,0.127,0.234
10_points_GTv3_00,0.063,0.119,0.220
15_points_GTv3_95,0.058,0.078,0.533
10_points_GTv3_94,0.055,0.061,0.231
05_points_GTv3_04,0.052,0.106,0.232
05_points_GTv3_98,0.050,0.122,0.172
05_points_GTv3_52,0.042,0.108,0.279
05_points_GTv3_75,0.038,0.040,0.157
10_points_GTv3_96,0.037,0.070,0.189
10_points_GTv3_50,0.034,0.062,0.223
10_points_GTv3_37,0.030,0.030,0.066
05_points_GTv3_03,0.023,0.039,0.086
10_points_GTv3_45,0.022,0.038,0.116
05_points_GTv3_51,0.019,0.034,0.298
05_points_GTv3_19,0.019,0.028,0.175
10_points_GTv3_84,0.018,0.063,0.163
10_points_GTv3_86,0.018,0.051,0.219
10_points_GTv3_32,0.016,0.017,0.061
05_points_GTv3_77,0.014,0.047,0.305
10_points_GTv3_99,0.013,0.042,0.191
10_points_GTv3_51,0.010,0.010,0.010
10_points_GTv3_98,0.010,0.013,0.191
10_points_GTv3_52,0.009,0.009,0.031
10_points_GTv3_33,0.005,0.018,0.139
10_points_GTv3_01,0.004,0.010,0.093
10_points_GTv3_62,0.004,0.013,0.133
05_points_GTv3_85,0.002,0.005,0.099
05_points_GTv3_94,0.001,0.002,0.131
05_points_GTv3_99,0.000,0.000,0.098
25_points_GTv3_20,nan,nan,nan
25_points_GTv3_15,1.000,1.000,1.000
25_points_GTv3_10,1.000,1.000,1.000
25_points_GTv3_94,1.000,1.000,1.000
25_points_GTv3_47,0.968,1.000,1.000
25_points_GTv3_70,0.957,1.000,1.000
25_points_GTv3_00,0.954,1.000,1.000
25_points_GTv3_34,0.951,1.000,1.000
25_points_GTv3_44,0.911,0.974,1.000
25_points_GTv3_30,0.905,1.000,1.000
25_points_GTv3_79,0.898,0.898,0.898
25_points_GTv3_31,0.879,0.891,0.891
25_points_GTv3_25,0.875,0.875,0.875
20_points_GTv3_83,0.872,0.909,0.909
25_points_GTv3_64,0.854,1.000,1.000
25_points_GTv3_17,0.852,0.857,0.857
25_points_GTv3_59,0.848,1.000,1.000
25_points_GTv3_35,0.835,0.889,0.889
25_points_GTv3_19,0.822,1.000,1.000
20_points_GTv3_95,0.819,1.000,1.000
25_points_GTv3_90,0.810,0.923,0.923
25_points_GTv3_65,0.810,1.000,1.000
25_points_GTv3_46,0.798,0.875,0.875
25_points_GTv3_18,0.790,0.875,0.875
25_points_GTv3_83,0.789,0.909,0.909
25_points_GTv3_33,0.762,1.000,1.000
25_points_GTv3_67,0.753,0.824,0.895
25_points_GTv3_58,0.751,1.000,1.000
25_points_GTv3_68,0.750,0.861,0.889
25_points_GTv3_40,0.749,0.769,0.769
20_points_GTv3_99,0.746,0.833,0.833
25_points_GTv3_60,0.739,0.889,0.889
25_points_GTv3_57,0.738,0.974,0.974
20_points_GTv3_93,0.735,0.808,0.875
25_points_GTv3_05,0.734,0.812,0.812
25_points_GTv3_86,0.728,0.878,0.882
25_points_GTv3_54,0.727,0.845,0.929
25_points_GTv3_45,0.726,0.833,0.833
25_points_GTv3_29,0.709,0.769,0.769
25_points_GTv3_63,0.709,0.709,0.720
25_points_GTv3_36,0.705,0.771,0.837
25_points_GTv3_14,0.704,0.859,0.859
20_points_GTv3_92,0.696,0.769,0.769
25_points_GTv3_51,0.693,0.846,0.846
25_points_GTv3_88,0.676,0.700,0.786
25_points_GTv3_12,0.674,0.842,0.846
25_points_GTv3_98,0.669,0.818,0.818
25_points_GTv3_96,0.668,0.809,0.896
25_points_GTv3_78,0.667,0.800,0.800
25_points_GTv3_73,0.661,0.833,0.833
25_points_GTv3_48,0.660,0.792,0.792
20_points_GTv3_96,0.654,0.798,0.909
25_points_GTv3_26,0.647,0.824,0.824
25_points_GTv3_62,0.646,0.662,1.000
25_points_GTv3_07,0.643,0.834,0.850
25_points_GTv3_77,0.642,0.805,0.805
20_points_GTv3_87,0.635,0.846,0.846
25_points_GTv3_61,0.633,0.909,0.909
25_points_GTv3_32,0.632,0.662,0.818
25_points_GTv3_89,0.627,0.766,0.889
25_points_GTv3_24,0.618,0.663,0.753
25_points_GTv3_69,0.608,0.608,0.799
25_points_GTv3_53,0.600,0.600,0.600
25_points_GTv3_52,0.600,0.698,0.698
25_points_GTv3_84,0.598,0.732,0.840
25_points_GTv3_92,0.597,0.647,0.647
20_points_GTv3_86,0.597,0.846,0.846
25_points_GTv3_27,0.595,0.724,0.833
25_points_GTv3_11,0.594,0.722,0.745
25_points_GTv3_42,0.594,0.769,0.769
25_points_GTv3_41,0.576,0.696,0.765
25_points_GTv3_97,0.563,0.750,0.875
20_points_GTv3_75,0.562,0.688,0.809
