# all_ap,0.204536
# all_ap_50,0.301371
# all_ap_25,0.406463
# all_rc,0.496292
# all_rc_50,0.616453
# all_rc_25,0.700072
scene_id,AP,AP_50%,AP_25%
15_points_GTv3_48,0.133,0.176,0.176
05_points_GTv3_28,0.129,0.172,0.267
05_points_GTv3_26,0.129,0.218,0.218
10_points_GTv3_56,0.126,0.177,0.297
05_points_GTv3_70,0.125,0.162,0.162
15_points_GTv3_95,0.124,0.196,0.414
10_points_GTv3_52,0.124,0.225,0.339
05_points_GTv3_54,0.122,0.174,0.242
20_points_GTv3_26,0.122,0.260,0.466
10_points_GTv3_19,0.120,0.135,0.309
20_points_GTv3_58,0.120,0.187,0.280
20_points_GTv3_66,0.119,0.212,0.285
20_points_GTv3_17,0.118,0.202,0.353
15_points_GTv3_25,0.116,0.224,0.361
05_points_GTv3_31,0.114,0.209,0.311
20_points_GTv3_24,0.113,0.186,0.331
10_points_GTv3_25,0.107,0.176,0.381
20_points_GTv3_79,0.106,0.149,0.354
05_points_GTv3_87,0.105,0.143,0.246
10_points_GTv3_08,0.103,0.246,0.518
20_points_GTv3_00,0.102,0.207,0.336
05_points_GTv3_50,0.098,0.175,0.314
20_points_GTv3_59,0.098,0.161,0.399
05_points_GTv3_44,0.097,0.241,0.241
20_points_GTv3_45,0.097,0.143,0.226
20_points_GTv3_14,0.097,0.118,0.118
10_points_GTv3_38,0.095,0.130,0.153
20_points_GTv3_06,0.094,0.145,0.283
05_points_GTv3_98,0.091,0.159,0.255
20_points_GTv3_12,0.090,0.146,0.341
05_points_GTv3_39,0.087,0.087,0.087
15_points_GTv3_05,0.086,0.146,0.253
20_points_GTv3_23,0.086,0.170,0.244
10_points_GTv3_93,0.085,0.205,0.248
20_points_GTv3_21,0.082,0.157,0.472
10_points_GTv3_76,0.080,0.161,0.303
05_points_GTv3_18,0.076,0.093,0.257
10_points_GTv3_47,0.075,0.117,0.197
10_points_GTv3_37,0.075,0.104,0.263
10_points_GTv3_14,0.074,0.109,0.214
10_points_GTv3_87,0.074,0.118,0.154
20_points_GTv3_57,0.068,0.144,0.260
15_points_GTv3_00,0.068,0.153,0.465
10_points_GTv3_85,0.067,0.191,0.290
05_points_GTv3_74,0.066,0.098,0.198
05_points_GTv3_29,0.059,0.104,0.286
20_points_GTv3_63,0.059,0.101,0.206
10_points_GTv3_72,0.058,0.192,0.269
20_points_GTv3_48,0.058,0.080,0.127
20_points_GTv3_55,0.057,0.118,0.241
10_points_GTv3_27,0.057,0.069,0.183
10_points_GTv3_86,0.054,0.092,0.176
10_points_GTv3_51,0.053,0.082,0.092
10_points_GTv3_96,0.052,0.092,0.247
10_points_GTv3_65,0.051,0.236,0.360
05_points_GTv3_65,0.050,0.141,0.312
05_points_GTv3_45,0.050,0.078,0.129
10_points_GTv3_44,0.047,0.056,0.105
05_points_GTv3_75,0.045,0.115,0.157
05_points_GTv3_52,0.045,0.118,0.345
10_points_GTv3_40,0.042,0.099,0.297
10_points_GTv3_84,0.042,0.059,0.166
05_points_GTv3_03,0.041,0.075,0.261
10_points_GTv3_45,0.040,0.065,0.238
10_points_GTv3_60,0.040,0.106,0.257
20_points_GTv3_50,0.034,0.093,0.255
10_points_GTv3_41,0.033,0.070,0.088
05_points_GTv3_55,0.031,0.071,0.188
05_points_GTv3_93,0.028,0.045,0.203
10_points_GTv3_33,0.023,0.085,0.170
